1-Jan,W,PackageManager, Unknown permission android.permission.WRITE_INTERNAL_STORAGE in package com.cnh.radio.RadioApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.SET_DEBUG_APP to package com.cnh.radio.RadioApp (protectionLevel=50 flags=0x8be46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.ACCESS_SETTINGS in package com.cnh.radio.RadioApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.RECEIVE_BOOT_COMPLETED in package com.cnh.android.utservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.READ_MEDIA_STORAGE in package com.cnh.android.appInstaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.intent.action.BOOT_COMPLETED_PRI_3 in package com.cnh.android.connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.android.settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.android.settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.intent.action.BOOT_COMPLETED_PRI_3 in package com.cnhi.messaging.service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.INJECT_EVENTS to package com.teamviewer.host.cnh (protectionLevel=2 flags=0x183e44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.CAPTURE_SECURE_VIDEO_OUTPUT in package com.teamviewer.host.cnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.CAPTURE_VIDEO_OUTPUT in package com.teamviewer.host.cnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.READ_FRAME_BUFFER to package com.teamviewer.host.cnh (protectionLevel=18 flags=0x183e44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.ACCESS_SURFACE_FLINGER to package com.teamviewer.host.cnh (protectionLevel=2 flags=0x183e44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.sec.MDM_REMOTE_CONTROL in package com.teamviewer.host.cnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.android.remotecontrolservice.REMOTE_CONTROL in package com.teamviewer.host.cnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.google.android.c2dm.permission.RECEIVE in package com.teamviewer.host.cnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.RECEIVE_BOOT_COMPLETED in package com.cnh.pf.alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.ACCESS_ALL_EXTERNAL_STORAGE to package com.cnh.pf.logapp (protectionLevel=2 flags=0x8be46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.READ_MEDIA_STORAGE in package com.cnh.pf.logapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Not granting permission android.permission.DUMP to package com.cnh.pf.logapp (protectionLevel=50 flags=0x8be46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.ACCESS_SETTINGS in package com.cnh.pf.android.iso.setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.ACCESS_SETTINGS in package com.cnh.pf.engage.service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.RECEIVE_BOOT_COMPLETED in package com.cnh.pf.engage.service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.READ_MEDIA_STORAGE in package com.cnh.android.usbmodetoggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.CAPTURE_SECURE_VIDEO_OUTPUT in package com.teamviewer.quicksupport.addon.cnhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.permission.CAPTURE_VIDEO_OUTPUT in package com.teamviewer.quicksupport.addon.cnhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission com.cnh.android.permission.RECEIVE_BOOT_COMPLETED in package com.cnh.android.shmservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,PackageManager, Unknown permission android.intent.action.ACTION_EXTERNAL_APPLICATIONS_AVAILABLE in package com.tierratelematics.ras.prod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, User Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Account Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Content Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, System Content Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Lights Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Battery Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,BatteryStatsImpl, Couldn't get kernel wake lock stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Alarm Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Init Watchdog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Input Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,InputManager," Initializing input manager, mUseDevInputEventForAudioJack=false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Window Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,WindowManager, No existing display settings /data/system/display_settings.xml; starting empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,InputManager, Starting input manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Bluetooth Manager Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Input Method Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,InputMethodManagerService, Couldn't create dir., /data/system/inputmethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Accessibility Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,V,WindowManager, computeScreenConfigurationLocked, mRotation=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Config changes=15f8 {1.0 ?mcc?mnc en_US ldltr sw524dp w1004dp h654dp 160dpi lrg land ?uimode ?night finger -keyb/v/h -nav/h s.2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Mount Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, got storage path, /storage/usb1 description, USB storage primary, true removable, true emulated, false mtpReserve, 0 allowMassStorage, true maxFileSize,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, addVolumeLocked() StorageVolume [mStorageId=0 mPath=/storage/usb1 mDescriptionId=17040659 mPrimary=true mRemovable=true mEmulated=false mMtpReserveSpace=0 mAllowMassStorage=true mMaxFileSize=0 mOwner=null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, got storage path, /storage/usb0 description, USB storage primary, false removable, true emulated, false mtpReserve, 0 allowMassStorage, true maxFileSize,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, addVolumeLocked() StorageVolume [mStorageId=0 mPath=/storage/usb0 mDescriptionId=17040659 mPrimary=false mRemovable=true mEmulated=false mMtpReserveSpace=0 mAllowMassStorage=true mMaxFileSize=0 mOwner=null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, got storage path, /storage/usb2 description, USB storage primary, false removable, true emulated, false mtpReserve, 0 allowMassStorage, true maxFileSize,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,MountService, addVolumeLocked() StorageVolume [mStorageId=0 mPath=/storage/usb2 mDescriptionId=17040659 mPrimary=false mRemovable=true mEmulated=false mMtpReserveSpace=0 mAllowMassStorage=true mMaxFileSize=0 mOwner=null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, LockSettingsService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Device Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Status Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Clipboard Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, UpdateLock Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, NetworkManagement Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Text Service Manager Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, NetworkStats Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,MountService, Duplicate state transition (removed -> removed) for /storage/usb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,MountService, Duplicate state transition (removed -> removed) for /storage/usb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,MountService, Duplicate state transition (removed -> removed) for /storage/usb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, NetworkPolicy Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Wi-Fi P2pService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Wi-Fi Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Notification Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Device Storage Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Location Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Country Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Search Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, DropBox Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Wallpaper Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Connectivity Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ConnectivityService, ConnectivityService starting up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Network Service Discovery Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Audio Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Dock Observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,DockObserver, This kernel does not have dock station support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Wired Accessory Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,WiredAccessoryManager, This kernel does not have wired headset support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,WiredAccessoryManager, This kernel does not have wired headphone2 support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,WiredAccessoryManager, This kernel does not have usb audio support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,WiredAccessoryManager, This kernel does not have HDMI audio support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, USB Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Serial Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
